GENEID	CHROMOSOME	START	END	STRAND	BAND	SYMBOL	ENTREZID	REFSEQID
ENSG00000197706	12	55640982	55642086	1	q13.2	OR6C74	254783	NM_001005490
ENSG00000147419	8	27590835	27630170	-1	p21.1	CCDC25	55246	NM_018246
ENSG00000158113	12	122652285	122688018	1	q24.31	LRRC43	254050	NM_152759,NM_001098519
ENSG00000136783	9	107509969	107522403	1	q31.1	NIPSNAP3A	25934	NM_015469
ENSG00000122180	1	203052260	203055164	-1	q32.1	MYOG	4656	NM_002479
ENSG00000134160	15	31293264	31453476	-1	q13.3	TRPM1	4308	NM_002420
ENSG00000159450	1	152078793	152086556	-1	q21.3	TCHH	7062	NM_007113
ENSG00000147471	8	37620111	37637283	1	p11.23	PROSC	11212	NM_007198
ENSG00000255284	11	777578	784297	1	p15.5	null	null	null
ENSG00000146143	6	57179603	57513375	1	p11.2	PRIM2	5558	NM_000947
ENSG00000158122	9	99401859	99417599	-1	q22.33	C9orf21	195827	NM_153698
ENSG00000159455	1	152647771	152659877	1	q21.3	LCE2B	26239	NM_014357
ENSG00000122188	1	203734304	203745361	1	q32.1	LAX1	54900	NM_017773,NM_001136190
ENSG00000158125	2	31557187	31637581	-1	p23.1	XDH	7498	NM_000379
ENSG00000146147	6	53794780	54131078	1	p12.1	C6orf142	90523	NM_138569
ENSG00000159459	15	43235095	43398299	-1	q15.2	UBR1	197131	NM_174916
ENSG00000147475	8	37594117	37616619	1	p11.23	ERLIN2	11160	NM_007175,NM_001003790,NM_001003791
ENSG00000185730	8	144371846	144380231	1	q24.3	ZNF696	79943	NM_030895
ENSG00000041982	9	117782806	117880536	-1	q33.1	TNC	3371	NM_002160
ENSG00000172421	17	60447579	60493837	1	q23.2	EFCAB3	146779	NM_001144933,NM_173503
ENSG00000197712	4	38869298	38947360	1	p14	FAM114A1	92689	NR_033290,NM_138389
ENSG00000160445	9	131492065	131534693	-1	q34.11	ZER1	10444	NM_006336
ENSG00000172425	11	118398187	118401912	1	q23.3	TTC36	143941	NM_001080441
ENSG00000197714	19	57791419	57805436	1	q13.43	ZNF460	10794	NM_006635
ENSG00000160447	9	131464802	131483197	1	q34.11	PKN3	29941	NM_013355
ENSG00000160446	9	131483148	131486406	-1	q34.11	ZDHHC12	84885	NM_032799
ENSG00000184408	7	119913722	120390385	1	q31.31	KCND2	3751	NM_012281
ENSG00000089902	14	103059233	103196912	1	q32.31	RCOR1	23186	NM_015156
ENSG00000172428	2	241065980	241076224	-1	q37.3	MYEOV2	150678	NM_138336,NM_001163424
ENSG00000041988	1	6684926	6695646	1	p36.31	THAP3	90326	NM_001195752,NM_001195753,NM_138350
ENSG00000184402	20	60718822	60757540	1	q13.33	SS18L1	26039	NM_198935
ENSG00000197713	2	210867289	210886300	1	q34	RPE	729020,6120	NM_199229,NM_006916
ENSG00000185739	16	4239377	4292081	-1	p13.3	SRL	6345	NM_001098814
ENSG00000185736	10	1228073	1779670	-1	p15.3	ADARB2	105	NM_018702
ENSG00000185737	10	83634806	84746933	1	q23.1	NRG3	10718	NM_001165972,NM_001010848,NM_001165973
ENSG00000255292	11	111957627	112071394	1	q23.1	null	null	null
ENSG00000159461	16	56395364	56459448	-1	q12.2	AMFR	267	NM_001144
ENSG00000122194	6	161123270	161174338	1	q26	PLG	5340	NM_000301,NM_001168338
ENSG00000147481	8	50822349	51706678	1	q11.21	SNTG1	54212	NM_018967
ENSG00000147485	8	52232138	52722005	-1	q11.23	PXDNL	137902	NM_144651
ENSG00000027697	6	137518621	137540586	-1	q23.3	IFNGR1	3459	NM_000416
ENSG00000147488	8	53023399	53373519	-1	q11.23	ST18	9705	NM_014682
ENSG00000173757	17	40351186	40428725	-1	q21.2	STAT5B	6777	NM_012448
ENSG00000025039	6	90074355	90121989	-1	q15	RRAGD	58528	NM_021244
ENSG00000146151	6	55299167	55444012	-1	p12.1	HMGCLL1	54511	NM_019036,NM_001042406
ENSG00000173762	17	80272746	80275480	-1	q25.3	CD7	924	NM_006137
ENSG00000197721	1	207818458	207911761	1	q32.2	CR1L	1379	NM_175710
ENSG00000171102	9	136080664	136084630	-1	q34.2	OBP2B	29989	NM_014581
ENSG00000171103	2	29072687	29093167	-1	p23.2	TRMT61B	55006	NM_017910
ENSG00000171101	19	51670654	51676685	1	q13.41	null	null	null
ENSG00000171105	19	7112266	7294011	-1	p13.2	INSR	3643	NM_000208,NM_001079817
ENSG00000077935	22	45739944	45809500	-1	q13.31	SMC1B	27127	NM_148674
ENSG00000185742	11	109292846	109299840	1	q22.3	C11orf87	399947	NM_207645
ENSG00000197728	12	56435686	56438005	1	q13.2	RPS26	6231	NM_001029
ENSG00000171109	3	179065480	179112719	1	q26.33	MFN1	55669	NM_033540
ENSG00000197724	9	96338689	96441869	1	q22.31	PHF2	5253	NM_005392
ENSG00000076604	17	27071036	27077974	1	q11.2	TRAF4	9618	NM_004295
ENSG00000089916	14	76618259	76669134	1	q24.3	C14orf118	55668	NM_017972,NM_017926
ENSG00000185745	10	91152303	91163745	1	q23.31	IFIT1	3434	NM_001548
ENSG00000171100	X	149737069	149841795	1	q28	MTM1	4534	NM_000252
ENSG00000172432	6	43573053	43596936	-1	p21.1	GTPBP2	54676	NM_019096
ENSG00000090905	16	24741016	24837548	1	p12.1	TNRC6A	27327	NM_014494
ENSG00000197723	17	40274756	40275371	1	q21.2	HSPB9	94086	NM_033194
ENSG00000172426	6	43612783	43640337	1	p21.1	RSPH9	221421	NM_152732,NM_001193341
ENSG00000134183	1	110145889	110155679	-1	p13.3	GNAT2	2780	NM_005272
ENSG00000134184	1	110230436	110236367	1	p13.3	GSTM1	2944	NM_146421,NM_000561
ENSG00000173769	3	44283378	44373590	1	p21.31	C3orf77	375337	NM_001145030
ENSG00000134186	1	109234945	109244425	1	p13.3	PRPF38B	55119	NM_018061,NR_037185
ENSG00000146166	6	63985856	64029882	-1	q12	LGSN	51557	NM_016571,NM_001143940
ENSG00000159479	1	43849588	43855479	-1	p34.2	MED8	112950	NM_201542,NM_052877
ENSG00000038358	16	67906975	67918406	1	q22.1	EDC4	23644	NM_014329
ENSG00000160460	19	40972148	41082365	1	q13.2	SPTBN4	57731	NM_025213,NM_020971
ENSG00000161791	12	50031724	50101197	-1	q13.12	FMNL3	91010	NM_198900,NM_175736
ENSG00000185751	X	52380351	52387001	-1	p11.22	XAGE2	728242,9502	NM_130777
ENSG00000196400	9	69252845	69254032	1	q21.11	null	null	null
ENSG00000077942	22	45898118	45997015	1	q13.31	FBLN1	2192	NM_006485,NM_006486,NM_001996,NM_006487
ENSG00000185753	X	40488285	40506819	-1	p11.4	CXorf38	159013	NM_144970
ENSG00000077943	10	15555948	15762124	-1	p13	ITGA8	8516	NM_003638
ENSG00000197735	2	45147332	45149606	-1	p21	null	null	null
ENSG00000196405	14	100438151	100610572	1	q32.2	EVL	51466	NM_016337
ENSG00000185758	4	184242917	184243579	-1	q35.1	CLDN24	100132463	NM_001185149
ENSG00000184428	8	144386554	144442149	-1	q24.3	TOP1MT	116447	NM_052963
ENSG00000171119	19	5823818	5828334	1	p13.3	NRTN	4902	NM_004558
ENSG00000196408	16	2028918	2031468	-1	p13.3	NOXO1	124056	NM_144603,NM_172167,NM_172168
ENSG00000196407	1	151818220	151826173	-1	q21.3	THEM5	284486	NM_182578
ENSG00000171116	X	148855726	148858525	1	q28	HSFX1	100130086,51402,100506164	NM_016153
ENSG00000160469	19	55795534	55823901	1	q13.42	BRSK1	84446	NM_032430
ENSG00000197734	14	78227173	78236085	1	q24.3	C14orf178	283579	NM_174943,NM_001173978
ENSG00000171115	7	150147718	150176480	1	q36.1	GIMAP8	155038	NM_175571
ENSG00000196409	9	40760700	40836415	-1	p13.1	ZNF658	26149	NM_033160
ENSG00000196406	X	140785568	140786896	-1	q27.2	SPANXD	171489,64648	NM_145665,NM_032417
ENSG00000001084	6	53362139	53481768	-1	p12.1	GCLC	2729	NM_001498
ENSG00000134193	1	120336641	120354283	-1	p12	REG4	83998	NM_032044,NM_001159352,NM_001159353
ENSG00000123485	2	234742062	234763212	-1	q37.1	HJURP	55355	NM_018410
ENSG00000134198	1	115590632	115632121	-1	p13.2	TSPAN2	10100	NM_005725
ENSG00000158156	1	28285973	28294607	1	p35.3	XKR8	55113	NM_018053
ENSG00000158158	2	97426639	97477628	1	q11.2	CNNM4	26504	NM_020184
ENSG00000173744	2	228336868	228421384	1	q36.3	AGFG1	3267	NM_001135189,NM_004504,NM_001135187,NM_001135188
ENSG00000185760	6	73331520	73908574	1	q13	KCNQ5	56479	NM_001160134,NM_001160132,NM_001160130,NM_019842,NM_001160133
ENSG00000185761	19	1505017	1513188	-1	p13.3	ADAMTSL5	339366	NM_213604
ENSG00000171121	3	178957530	178984790	-1	q26.32	KCNMB3	27094	NR_028135,NM_001163677,NM_171830,NM_171828,NM_171829,NM_014407
ENSG00000184432	3	139074442	139108574	-1	q23	COPB2	9276	NR_023350,NM_004766
ENSG00000196411	7	100400187	100425121	-1	q22.1	EPHB4	2050	NM_004444
ENSG00000171124	19	5842900	5851485	-1	p13.3	FUT3	2525	NM_000149,NM_001097640,NM_001097641,NM_001097639
ENSG00000197745	11	62063754	62066536	-1	q12.3	SCGB1D4	404552	NM_206998
ENSG00000172456	1	59762467	60233347	1	p32.1	FGGY	55277	NM_001113411,NM_018291
ENSG00000172458	13	21276266	21297237	1	q12.11	IL17D	53342	NM_138284
ENSG00000197747	1	151955391	151966866	-1	q21.3	S100A10	6281	NM_002966
ENSG00000196418	1	247285277	247335310	-1	q44	ZNF124	7678	NM_003431
ENSG00000196419	22	42017123	42060044	1	q13.2	XRCC6	2547	NM_001469
ENSG00000196417	19	53893046	53930574	1	q13.42	ZNF765	91661	NM_001040185
ENSG00000196415	19	840985	848180	1	p13.3	PRTN3	5657	NM_002777
ENSG00000090920	19	40353964	40440533	-1	q13.2	FCGBP	8857	NM_003890
ENSG00000183103	19	42341148	42348736	-1	q13.2	LYPD4	147719	NM_173506
ENSG00000160472	19	55888204	55889612	1	q13.42	TMEM190	147744	NM_139172
ENSG00000090924	19	39903225	39919054	1	q13.2	PLEKHG2	64857	NM_022835
ENSG00000065978	1	43148098	43168023	1	p34.2	YBX1	4904	NM_004559
ENSG00000172459	11	56431138	56432163	1	q12.1	OR5AR1	219493	NM_001004730
ENSG00000184434	9	26993134	27005691	-1	p21.2	LRRC19	64922	NM_022901
ENSG00000065970	12	8185299	8208099	1	p13.31	FOXJ2	55810	NM_018416
ENSG00000171126	2	42669157	42721237	-1	p21	KCNG3	170850	NM_133329,NM_172344
ENSG00000158163	3	137780832	137834660	-1	q22.3	DZIP1L	199221	NM_001170538,NM_173543
ENSG00000159495	15	43568479	43594453	-1	q15.2	TGM7	116179	NM_052955
ENSG00000159496	22	24030323	24041363	1	q11.23	RGL4	266747	NM_153615
ENSG00000173786	17	40118759	40127194	1	q21.2	CNP	1267	NM_033133
ENSG00000158161	1	28296855	28415207	-1	p35.3	EYA3	2140	NM_001990
ENSG00000184436	22	21353393	21356485	-1	q11.21	THAP7	80764	NM_001008695,NM_030573
ENSG00000158169	9	97861336	98079991	-1	q22.32	FANCC	2176	NM_000136
ENSG00000197748	10	105889646	105992120	-1	q25.1	WDR96	80217	NM_025145
ENSG00000171129	X	148674172	148676974	-1	q28	HSFX2	100130086,51402,100506164	NM_001164415
ENSG00000172461	6	96463860	96653420	1	q16.1	FUT9	10690	NM_006581
ENSG00000051341	3	121150274	121265488	-1	q13.33	POLQ	10721	NM_199420
ENSG00000171132	2	45878484	46415129	1	p21	PRKCE	5581	NM_005400
ENSG00000196422	9	138371648	138380739	1	q34.3	KIAA0649	9858	NM_014811
ENSG00000063322	19	39881963	39891201	1	q13.2	MED29	55588	NM_017592
ENSG00000075303	7	87462883	87505672	-1	q21.12	SLC25A40	55972	NM_018843
ENSG00000171136	19	14138960	14141854	1	p13.12	RLN3	117579	NM_080864
ENSG00000172468	Y	20708557	20750849	1	q11.222	HSFY1	86614,159119	NM_033108,NM_152584,NR_003510,NR_003509
ENSG00000172469	6	96025419	96057333	1	q16.1	MANEA	79694	NM_024641
ENSG00000196427	1	108765087	108786703	-1	p13.3	NBPF4	148545	NM_001143989
ENSG00000172465	X	102883632	102885881	1	q22.2	TCEAL1	9338	NM_004780,NM_001006640,NM_001006639
ENSG00000196420	1	153509623	153514241	-1	q21.3	S100A5	6276	NM_002962
ENSG00000196428	3	150126080	150177903	1	q25.1	TSC22D2	9819	NM_014779
ENSG00000172464	11	56408942	56409947	-1	q12.1	OR5AP2	338675	NM_001002925
ENSG00000090932	19	39989557	39999118	1	q13.2	DLL3	10683	NM_016941,NM_203486
ENSG00000171135	3	9932238	9936033	1	p25.3	JAGN1	84522	NM_032492
ENSG00000064651	5	127419458	127525380	1	q23.3	SLC12A2	6558	NM_001046
ENSG00000183111	5	148931510	149014531	1	q32	ARHGEF37	389337	NM_001001669
ENSG00000183117	8	2792992	4852494	-1	p23.2	CSMD1	64478	NM_033225
ENSG00000037042	17	40811266	40819021	1	q21.2	TUBG2	27175	NM_016437
ENSG00000064655	20	45523263	45817492	1	q13.12	EYA2	2139	NM_005244,NM_172110,NM_172111,NM_172112
ENSG00000171130	7	149570057	149577787	1	q36.1	ATP6V0E2	155066	NM_145230,NM_001100592
ENSG00000197757	12	54384408	54424607	1	q13.13	HOXC6	3223	NM_153693,NM_004503
ENSG00000065989	19	10527449	10580305	1	p13.2	PDE4A	5141	NM_001111307,NM_001111308,NM_001111309,NM_006202
ENSG00000171133	9	114089763	114090800	-1	q31.3	OR2K2	26248	NM_205859
ENSG00000146197	6	35182190	35220856	1	p21.31	SCUBE3	222663	NM_152753
ENSG00000172466	18	32912176	32924420	-1	q12.2	ZNF24	7572	NM_006965
ENSG00000197756	2	217362912	217443903	1	q35	RPL37A	6168	NM_000998
ENSG00000158164	X	101768604	101771712	-1	q22.1	TMSB15A	11013,286527	NM_021992
ENSG00000172457	11	56510303	56511287	-1	q12.1	OR9G4	283189	NM_001005284
ENSG00000185774	4	20730239	21950422	-1	p15.2	KCNIP4	80333	NM_147183,NM_025221,NM_001035003,NM_001035004,NM_147181,NM_147182
ENSG00000184451	17	40830907	40833861	-1	q21.2	CCR10	2826	NM_016602
ENSG00000076641	8	81882526	82024303	-1	q21.13	PAG1	55824	NM_018440
ENSG00000197763	3	126290622	126373998	-1	q21.3	TXNRD3	null	NM_001173513,NM_052883
ENSG00000184454	1	24882602	24935819	1	p36.11	C1orf130	400746	NM_001010980
ENSG00000172476	X	102754678	102774417	-1	q22.2	RAB40A	142684	NM_080879
ENSG00000197766	19	859665	863606	1	p13.3	CFD	1675	NM_001928
ENSG00000064666	19	1026298	1039060	1	p13.3	CNN2	1265	NM_004368,NM_201277
ENSG00000197768	9	140145713	140147934	1	q34.3	C9orf173	441476	NM_001004353
ENSG00000197769	1	242158792	242162375	-1	q43	MAP1LC3C	440738	NM_001004343
ENSG00000171147	7	141951963	141957878	-1	q34	null	136541	NM_001001317
ENSG00000196437	19	37902062	37958339	-1	q13.12	ZNF569	148266	NM_152484
ENSG00000184459	22	32809834	32860471	-1	q12.3	BPIL2	254240	NM_174932
ENSG00000196436	16	74411156	74425978	1	q23.1	NPIPL2	100506786,100507666	null
ENSG00000196433	X	1733894	1761974	1	p22.33	ASMT	438	NM_001171038,NM_004043,NM_001171039
ENSG00000183128	10	105232561	105238997	-1	q24.33	CALHM3	119395	NM_001129742
ENSG00000185787	15	79102829	79190475	1	q25.1	MORF4L1	10933,10934	NM_006791,NM_206839
ENSG00000196431	22	27017928	27026636	1	q12.1	CRYBA4	1413	NM_001886
ENSG00000171148	3	9821544	9834695	-1	p25.3	TADA3	10474	NM_133480,NM_006354
ENSG00000184445	12	123011793	123110926	1	q24.31	KNTC1	9735	NM_014708
ENSG00000197746	10	73576055	73611126	-1	q22.1	PSAP	5660	NM_001042465,NM_002778,NM_001042466
ENSG00000158186	3	138066539	138124375	1	q22.3	MRAS	22808	NM_001085049,NM_012219
ENSG00000064652	5	122179134	122365049	1	q23.2	SNX24	28966	NM_014035
ENSG00000197753	6	35773070	35801651	1	p21.31	LHFPL5	222662	NM_182548
ENSG00000160471	19	55861076	55866182	-1	q13.42	COX6B2	125965	NM_144613
ENSG00000135437	12	56114151	56118525	1	q13.2	RDH5	5959	NM_001199771,NM_002905
ENSG00000171150	2	46926091	46990268	1	p21	SOCS5	9655	NM_144949,NM_014011
ENSG00000197771	10	121588972	121633133	-1	q26.11	MCMBP	79892	NM_024834
ENSG00000183130	1	248789420	248790491	-1	q44	OR2T11	127077	NM_001001964
ENSG00000146192	6	36973422	36996846	1	p21.2	FGD2	221472	NM_173558
ENSG00000197774	16	1823229	1826239	1	p13.3	EME2	197342	NM_001010865
ENSG00000171155	X	119759648	119764005	-1	q24	C1GALT1C1	29071	NM_152692,NM_001011551
ENSG00000172487	11	56127691	56128764	1	q12.1	OR8J1	219477	NM_001005205
ENSG00000185798	3	196281056	196295545	-1	q29	WDR53	348793	NM_182627
ENSG00000183137	6	109416313	109485135	1	q21	CEP57L1	285753	NM_173830,NM_001083535
ENSG00000171159	9	130922539	130926207	1	q34.11	C9orf16	79095	NM_024112
ENSG00000196449	1	38268616	38273857	-1	p34.3	YRDC	79693	NM_024640
ENSG00000184465	6	169857307	170102159	-1	q27	WDR27	253769	NM_001202550,NM_182552
ENSG00000197776	14	50159823	50219870	1	q21.3	KLHDC1	122773	NM_172193
ENSG00000172489	11	56019676	56020698	1	q12.1	OR5T3	390154	NM_001004747
ENSG00000183134	11	60618413	60623444	-1	q12.2	GPR44	11251	NM_004778
ENSG00000076650	19	33571786	33621318	1	q13.11	GPATCH1	55094	NM_018025
ENSG00000161798	12	50355279	50359459	1	q13.12	AQP5	362	NM_001651
ENSG00000197779	X	47696301	47861960	1	p11.23	ZNF81	347344	NM_007137
ENSG00000197775	14	24407940	24409196	1	q11.2	C14orf167	null	NR_023921,NR_023922,NR_023923,NR_023924
ENSG00000087303	14	52471521	52536545	-1	q22.1	NID2	22795	NM_007361
ENSG00000050030	X	73952684	74145320	-1	q13.3	KIAA2022	340533	NM_001008537
ENSG00000158195	1	27730730	27816669	-1	p36.11	WASF2	10163	NM_006990,NM_001201404
ENSG00000077984	20	24929866	24940564	1	p11.21	CST7	8530	NM_003650
ENSG00000087302	14	52456193	52471414	1	q22.1	C14orf166	51637	NM_016039
ENSG00000255242	14	73957669	73960096	1	q24.3	C14orf169	79697	null
ENSG00000185792	19	56219798	56249768	-1	q13.42	NLRP9	338321	NM_176820
ENSG00000256451	5	112107284	112108189	-1	q22.2	null	null	null
ENSG00000197780	1	109605121	109618624	-1	p13.3	TAF13	6884	NM_005645
ENSG00000171161	1	249132409	249143716	1	q44	ZNF672	79894	NM_024836
ENSG00000184471	16	1138226	1146244	-1	p13.3	C1QTNF8	390664	NM_207419
ENSG00000171163	1	249144205	249153343	-1	q44	ZNF692	55657	NM_001136036,NM_017865,NM_001193328
ENSG00000196453	7	149128454	149158214	-1	q36.1	ZNF777	27153	NM_015694
ENSG00000197785	1	1447531	1470067	1	p36.33	ATAD3A	55210	NM_018188,NM_001170535,NM_001170536
ENSG00000196455	3	130397779	130465673	-1	q22.1	PIK3R4	30849	NM_014602
ENSG00000183146	Y	23544840	23613732	-1	q11.223	CYorf17	null	null
ENSG00000184478	11	5968570	5969591	1	p15.4	OR56A3	390083	NM_001003443
ENSG00000196458	12	133498047	133532892	-1	q24.33	ZNF605	100289635	NM_183238,NM_001164715
ENSG00000171169	9	130823512	130830485	-1	q34.11	NAIF1	203245	NM_197956
ENSG00000196459	X	13730363	13752754	-1	p22.2	TRAPPC2	6399	NM_001011658,NM_001128835,NM_014563
ENSG00000197782	19	40570428	40596845	-1	q13.2	ZNF780A	284323	NM_001142578,NM_001142579,NM_001010880,NM_001142577
ENSG00000064687	19	1040102	1065571	1	p13.3	ABCA7	10347	NM_019112
ENSG00000075336	18	71815746	71826197	1	q22.3	C18orf55	29090	NM_014177
ENSG00000184470	22	19863040	19929359	-1	q11.21	TXNRD2	null	NM_006440
ENSG00000183145	21	38378450	38391959	1	q22.13	DSCR6	53820	NM_018962
ENSG00000172493	4	87856154	88062206	1	q21.3	AFF1	4299	NM_001166693,NM_005935
ENSG00000076662	19	10444454	10450345	-1	p13.2	ICAM3	3385	NM_002162
ENSG00000183148	9	42368303	42411410	1	p12	ANKRD20A2	441430	NM_001012421
ENSG00000197786	11	58125597	58126542	-1	q12.1	OR5B17	219965	NM_001005489
ENSG00000196456	7	150065879	150109558	1	q36.1	ZNF775	285971	NM_173680
ENSG00000172478	2	241825465	241836306	-1	q37.3	C2orf54	79919	NM_024861,NM_001085437
ENSG00000147416	8	20054878	20084330	1	p21.3	ATP6V1B2	526	NM_001693
ENSG00000196440	X	100673275	100788446	1	q22.1	ARMCX4	null	NR_028407
ENSG00000172497	5	80625824	80689998	-1	q14.1	ACOT12	134526	NM_130767
ENSG00000087301	14	52897309	53019301	-1	q22.1	TXNDC16	57544	NM_001160047,NM_020784
ENSG00000197790	11	4566421	4567374	1	p15.4	OR52M1	119772	NM_001004137
ENSG00000183150	12	12813825	12849141	-1	p13.1	GPR19	2842	NM_006143
ENSG00000051382	3	138372860	138553780	-1	q22.3	PIK3CB	5291	NM_006219
ENSG00000075340	2	70834750	70995357	-1	p13.3	ADD2	119	NM_017482,NM_001185054,NM_001617,NM_001185055,NM_017488
ENSG00000171174	2	28004231	28113965	-1	p23.2	RBKS	64080	NM_022128
ENSG00000183153	17	38517235	38520067	-1	q21.2	GJD3	null	null
ENSG00000184486	6	99282580	99286660	1	q16.1	POU3F2	5454	NM_005604
ENSG00000183155	1	202848085	202858263	-1	q32.1	RABIF	5877	NM_002871
ENSG00000197798	11	126081309	126132881	1	q24.2	FAM118B	79607	NM_024556
ENSG00000184489	8	142402093	142441620	1	q24.3	PTP4A3	11156	NM_007079,NM_032611
ENSG00000196466	19	12490003	12512088	-1	p13.2	ZNF799	90576	NM_001080821
ENSG00000062038	16	68678151	68732971	1	q22.1	CDH3	1001	NM_001793
ENSG00000196465	12	56546335	56551771	1	q13.2	MYL6B	140465	NM_002475,NM_001199629
ENSG00000099308	19	18208603	18262499	1	p13.11	MAST3	23031	NM_015016
ENSG00000090971	19	55996594	55998935	1	q13.42	NAT14	57106	NM_020378
ENSG00000196468	X	76709648	76712769	1	q21.1	FGF16	null	null
ENSG00000184481	X	70316047	70323385	1	q13.1	FOXO4	4303	NM_005938,NM_001170931
ENSG00000064692	5	121647049	121799914	1	q23.2	SNCAIP	9627	NM_005460
ENSG00000090975	12	123468027	123634562	-1	q24.31	PITPNM2	57605	NM_020845
ENSG00000183154	8	37592279	37594944	-1	p11.23	null	null	null
ENSG00000123473	1	47715811	47779819	-1	p33	STIL	6491	NM_001048166,NM_003035
ENSG00000196460	2	101966891	102091165	-1	q11.2	RFX8	731220	NM_001145664
ENSG00000171160	10	99374310	99393852	-1	q24.2	MORN4	118812	NM_001098831,NM_178832
ENSG00000172482	2	241807896	241819919	1	q37.3	AGXT	189	NM_000030
ENSG00000171180	1	248402231	248403166	1	q44	OR2M4	26245	NM_017504
ENSG00000196470	16	48394442	48419361	-1	q12.1	SIAH1	6477	NM_001006610,NM_003031
ENSG00000183160	12	108983622	108991894	-1	q23.3	TMEM119	338773	NM_181724
ENSG00000183161	11	22644079	22647387	-1	p14.3	FANCF	2188	NM_022725
ENSG00000184494	HSCHR6_MHC_QBL	31815830	31821077	-1	null	null	4758	null
ENSG00000184492	2	114256661	114258728	1	q13	FOXD4L1	200350	NM_012184
ENSG00000076685	10	104845940	104953056	-1	q24.33	NT5C2	22978	NM_012229,NM_001134373
ENSG00000196476	20	251504	271390	-1	p13	C20orf96	140680	NM_153269
ENSG00000183166	7	71244476	71912148	-1	q11.22	CALN1	83698	NM_031468,NM_001017440
ENSG00000171189	21	30909254	31312351	-1	q21.3	GRIK1	2897	NM_000830,NM_175611
ENSG00000183169	22	22981648	22986944	-1	q11.22	POM121L1P	100294020,100294050	NR_024591
ENSG00000087338	2	70056774	70108528	1	p13.3	GMCL1	64395	NM_178439,NR_003281
ENSG00000196475	4	80327508	80329372	-1	q21.21	GK2	2712	NM_033214
ENSG00000184497	13	114462216	114514926	1	q34	FAM70B	348013	NM_182614
ENSG00000038382	5	14143811	14532235	1	p15.2	TRIO	7204	NM_007118
ENSG00000185775	9	43624507	43630730	-1	p11.2	FAM75A6	389730	NM_001145196
ENSG00000090989	4	56719782	56771200	1	q12	EXOC1	55763	NM_001024924,NM_178237,NM_018261
ENSG00000049089	1	40766159	40783488	-1	p34.2	COL9A2	1298	NM_001852
ENSG00000183172	22	42475695	42480288	1	q13.2	C22orf32	91689	NM_033318
ENSG00000196482	1	216676588	217311097	-1	q41	ESRRG	2104	NM_001438,NM_206595,NR_024099,NM_206594,NM_001134285
ENSG00000171195	4	71296209	71348714	1	q13.3	MUC7	4589	NM_152291,NM_001145006,NM_001145007
ENSG00000171199	4	71263599	71275911	1	q13.3	PROL1	58503	NM_021225
ENSG00000099326	19	59073285	59084942	-1	q13.43	MZF1	7593	NM_198055,NM_003422
ENSG00000221900	7	53103335	53104617	1	p12.1	POM121L12	285877	NM_182595
ENSG00000086015	1	46252659	46501896	1	p34.1	MAST2	23139	NM_015112
ENSG00000221909	7	99143931	99156159	-1	q22.1	FAM200A	221786	NM_145111
ENSG00000183114	1	20878932	20881512	1	p36.12	FAM43B	163933	NM_207334
ENSG00000099330	19	17337055	17340027	1	p13.11	OCEL1	79629	NM_024578
ENSG00000099331	19	17212466	17324103	1	p13.11	MYO9B	4650	NM_001130065,NM_004145
ENSG00000183186	19	405443	409170	-1	p13.3	C2CD4C	126567	NM_001136263
ENSG00000196497	14	24649425	24658124	-1	q12	IPO4	79711	NM_024658
ENSG00000196498	12	124808961	125052135	-1	q24.31	NCOR2	9612	NM_006312,NM_001077261
ENSG00000088682	16	57481402	57495178	1	q21	COQ9	57017	NM_020312
ENSG00000099337	19	38810482	38819640	1	q13.2	KCNK6	9424	NM_004823
ENSG00000099338	19	38826415	38861589	1	q13.2	CATSPERG	57828	NM_021185
ENSG00000074047	2	121493199	121750229	1	q14.2	GLI2	2736	NM_005270
ENSG00000221910	7	143632259	143633372	1	q35	OR2F2	135948	NM_001004685
ENSG00000221914	8	26149007	26230196	1	p21.2	PPP2R2A	5520	NM_002717,NM_001177591
ENSG00000221916	19	49621655	49622397	-1	q13.33	C19orf73	55150	NM_018111
ENSG00000099341	19	38865176	38874464	1	q13.2	PSMD8	5714	NM_002812
ENSG00000183196	16	75507022	75529282	-1	q23.1	CHST6	4166	NM_021615
ENSG00000087365	11	65818200	65836779	1	q13.1	SF3B2	10992	NM_006842
ENSG00000219607	6	5085720	5087455	1	p25.1	PPP1R3G	648791	NM_001145115
ENSG00000075388	11	69587797	69590171	-1	q13.3	FGF4	2249	NM_002007
ENSG00000074054	2	122095352	122407163	-1	q14.3	CLASP1	23332	NM_015282,NM_001142274,NM_001142273
ENSG00000221923	19	52873170	52889048	1	q13.41	ZNF880	400713	NM_001145434
ENSG00000100802	14	23456110	23479352	-1	q11.2	C14orf93	60686	NM_001130706,NM_001130708,NM_021944
ENSG00000233904	HSCHR6_MHC_COX	30447104	30451842	1	null	null	null	null
ENSG00000221926	17	15531274	15587613	-1	p12	TRIM16	100510498,10626	NM_006470
ENSG00000100804	14	23495060	23504429	-1	q11.2	PSMB5	5693	NM_001144932,NM_002797,NM_001130725
ENSG00000206301	HSCHR6_MHC_MCF	32742904	32748772	1	null	null	null	null
ENSG00000206302	HSCHR6_MHC_QBL	32555534	32563145	-1	null	null	100510688,100510689	null
ENSG00000075391	1	178062864	178448644	1	q25.2	RASAL2	9462	NM_004841,NM_170692
